,ROI-USD,ROI-ETH,CMC200-USD,BTC-ETH
2020-07-18,0.0,0.0,0.0,0.0
2020-07-19,0.6564518954362386,0.0,1.9776713960000163,-1.1140138491438185
2020-07-20,-0.14145852902112122,-2.4440096553355994,3.9553427920000326,-2.067849914139364
2020-07-21,-3.299175289866485,-4.789191684170257,5.933014188000049,-1.318194564179511
2020-07-22,3.1727731916087576,-1.6722976486164498,7.910685584000065,-2.7446889303526034
2020-07-23,3.42409179698433,-8.609773137093457,9.888356980000083,-8.159648777401781
2020-07-24,4.564139035386883,-10.902229676168506,11.866028376000099,-11.261980114327859
2020-07-25,6.072556714220068,-12.558562586175604,13.843699772000114,-13.212606232771398
2020-07-26,9.195002242598704,-16.001031045370915,15.82137116800013,-19.253862419385836
2020-07-27,9.015187100138732,-22.007003723391172,17.799042564000146,-18.71943113977427
2020-07-28,7.698934014943326,-21.679527013250688,19.776713960000166,-13.184906405042057
2020-07-29,12.24559294129448,-18.628582506522807,21.75438535600018,-12.43839881138356
2020-07-30,10.042274921289597,-19.21300035661375,23.732056752000197,-11.20379728328638
2020-07-31,16.505733576894734,-21.725548299607222,25.70972814800021,-15.716789991098471
2020-08-01,24.59806638900668,-25.049879399524944,27.68739954400023,-16.817437574257596
2020-08-02,18.604542783663724,-26.199516357032614,29.665070940000245,-22.5649453358419
2020-08-03,21.673627058765852,-26.209761731252325,31.64274233600026,-23.94318865090544
2020-08-04,24.319107870861135,-26.230283644963148,33.62041373200027,-26.070058195925927
2020-08-05,28.926079763537693,-24.967842744821244,35.59808512800029,-27.193586624646947
2020-08-06,30.4269487556708,-23.143648720045274,37.57575652400031,-25.604361159683602
2020-08-07,33.76465583106225,-18.38482905162414,39.55342792000033,-24.135268027672378
2020-08-08,30.078614206228238,-22.415265426760268,41.53109931600034,-22.477974350191847
2020-08-09,40.113944794096355,-16.343172009679996,43.50877071200036,-23.69973275882171
2020-08-10,50.172779546168236,-11.795994873652782,45.486442108000375,-23.761217196472405
2020-08-12,61.58259612298282,-0.9580003140074678,47.464113504000395,-23.635213618239337
2020-08-13,85.15751587027749,10.314628429058859,49.44178490000041,-24.028855144919977
2020-08-14,86.79475568324068,3.3926151242609004,51.41945629600042,-29.493569119053152
2020-08-15,84.05690808150719,-2.293173123247827,53.39712769200043,-31.690755847764855
2020-08-16,87.36838585851368,1.9580437165649611,55.37479908800046,-30.29926513904083
2020-08-17,90.92484686130307,4.483726183230496,57.35247048400047,-30.202265634241694
2020-08-18,102.6461486094163,10.08513725131377,59.33014188000049,-27.638588845366936
2020-08-19,87.17620090321707,5.837954532870038,61.3078132760005,-28.016650187555836
2020-08-20,84.31214286660749,6.156142951676724,64.23496347756358,-26.49792016084985
2020-08-21,99.4603838695965,12.550876834502823,64.23496347756358,-27.5801324270023
2020-08-22,82.57083797848364,9.063058178865969,63.499163635845136,-24.376372411977787
2020-08-23,88.16818657453882,12.1457642336239,62.76336379412668,-25.01515137436485
2020-08-24,106.11623758977191,20.395484388901643,62.02756395240824,-24.285250487085
2020-08-25,106.80277107121188,19.570075210250405,54.70937357189221,-26.78838335733505
2020-08-26,105.79147908846123,25.54774370407944,57.53646934572153,-24.89175648001162
2020-08-27,119.14710356194638,32.506372529595694,53.68258957719186,-24.46166584985389
2020-08-28,104.12560772881454,23.12782612049049,53.68258957719186,-24.758058484516184
2020-08-29,100.99773346018992,16.214366482827902,56.70541137854611,-25.88012590896957
2020-08-30,104.94086733629943,17.881035240128895,59.72823317990037,-26.917982374491334
2020-08-31,114.5112094253677,18.586594388407885,62.75105498125462,-30.53546339206524
2020-09-01,125.99740482601658,14.094107036066372,69.44391950100788,-31.999725475306366
2020-09-02,111.78209105067336,5.607557056084955,58.88529577704609,-36.75737502887598
2020-09-03,82.98227039163513,3.6016543242886057,49.6204714116699,-34.164570762255636
2020-09-04,71.57821712875044,-0.17930700828953094,49.6204714116699,-32.63107210020392
2020-09-05,71.15460797559909,3.549352029879449,46.23010909407,-31.252168368147498
2020-09-06,56.17596094996091,3.3344805602750105,42.83974677647011,-22.35929697147892
2020-09-07,50.69831590305633,1.2480575808674121,39.449384458870206,-26.22126893318254
2020-09-08,48.68842141750178,1.3897858558660214,36.05902214127031,-25.234026582514396
2020-09-09,56.07929346888989,2.733944474944261,38.99868153172895,-23.664033804355743
2020-09-10,58.2191215857548,1.186082311398473,41.93834092218759,-26.07936983619573
2020-09-11,59.0802371995828,1.1808960529040347,41.93834092218759,-28.413545475449297
2020-09-12,59.941352813410795,1.1757097944095962,41.696340755521646,-29.474448558868577
2020-09-13,67.12066313296177,0.5715267829580206,41.45434058885572,-31.51601853120034
2020-09-14,57.8666863954983,-0.11152414893119689,41.212340422189776,-28.165583332015736
2020-09-15,60.64802137788321,-0.2586310248242629,40.454441967594036,-27.953572445063124
2020-09-16,50.943256566892984,-3.542888115387588,41.7000938302475,-24.759459172909615
2020-09-17,53.18126880701326,-6.088715128527788,48.71875068077903,-23.70095524415129
2020-09-18,55.43251701443557,-6.38206613248975,48.71875068077903,-28.538155619455285
2020-09-19,47.431446352520254,-9.24617306231963,45.641105363281135,-27.357284098398505
2020-09-20,47.503119116819256,-9.383716730843961,42.563460045783266,-26.900172913208092
2020-09-21,42.281274299532235,-11.339935868816065,39.485814728285376,-25.156773445180995
2020-09-22,46.84791928718394,-3.091252067413402,39.81723667115241,-22.506814262260676
2020-09-23,51.41456427483564,5.1574317339892595,29.60566421989055,-22.192438257111444
2020-09-24,53.247112187011034,9.346697006586435,41.442457972605055,-19.009811426691382
2020-09-25,63.71046698916818,11.184739679325094,41.442457972605055,-21.827354152715735
2020-09-26,67.73005116171662,10.99808038500365,42.96512491688793,-22.767417950877615
2020-09-27,66.98912095327934,9.71163002703439,44.487791861170805,-22.932394587307712
